town,price,size,bedrooms,bathrooms
Toa Payoh,448000,68,2,1
Punggol,638000,90,3,2
Ang Mo Kio,799999,110,3,2
Yishun,615000,121,3,2
Punggol,780000,113,3,2
Hougang,528000,104,3,2
Woodlands,650000,125,4,2
Sengkang,720000,92,3,2
Kallang/Whampoa,750000,103,3,2
Queenstown,640000,65,2,2
Choa Chu Kang,500000,93,3,2
Tampines,850000,146,4,3
Tampines,668000,93,3,2
Kallang/Whampoa,448800,67,2,2
Bedok,320000,67,2,2
Queenstown,1000000,104,3,2
Jurong East,750000,121,3,2
Yishun,670000,112,3,2
Kallang/Whampoa,340000,59,2,1
Choa Chu Kang,690000,113,3,2
Pasir Ris,670000,127,3,2
Bishan,798000,121,3,2
Yishun,812000,146,4,2
Sembawang,460000,90,3,2
Queenstown,640000,85,3,2
Serangoon,389000,67,2,2
Woodlands,620000,122,3,2
Sengkang,548000,93,2,2
Woodlands,539888,93,3,2
Sembawang,640000,93,2,2
Jurong West,525000,104,3,2
Yishun,390000,59,2,2
Woodlands,900001,145,4,3
Clementi,385000,67,2,2
Queenstown,450000,6,2,2
Bedok,588888,117,3,2
Bukit Batok,340000,68,2,2
Woodlands,550000,111,3,2
Choa Chu Kang,700000,144,4,2
Ang Mo Kio,800000,90,3,2
Choa Chu Kang,648000,142,4,2
Choa Chu Kang,488000,104,3,2
Yishun,498000,104,3,2
Sengkang,775000,126,4,2
Yishun,998000,164,5,3
Yishun,428000,68,2,2
Yishun,998000,164,5,3
Yishun,450000,84,3,2
Woodlands,588000,68,3,2
Jurong West,550000,67,2,2
Bukit Merah,1300000,114,3,2
Woodlands,600000,121,3,2
Ang Mo Kio,488888,82,2,2
Hougang,488888,84,3,2
Toa Payoh,470000,74,2,2
Punggol,550000,110,3,2
Ang Mo Kio,850000,92,3,2
Ang Mo Kio,800000,92,3,2
Bishan,800000,122,4,2
Bukit Panjang,555000,111,3,2
Pasir Ris,1080888,105,3,2
Choa Chu Kang,478000,106,3,2
Woodlands,680000,119,4,2
Ang Mo Kio,370000,67,2,2
Sengkang,770000,135,4,2
Yishun,550000,105,3,2
Woodlands,580000,122,3,2
Bukit Merah,660000,69,2,2
Bedok,320000,67,2,2
Punggol,620000,92,3,2
Jurong West,299000,65,3,1
Yishun,455000,104,3,2
Sengkang,599999,93,3,2
Queenstown,370000,65,3,2
Sembawang,650000,133,4,2
Kallang/Whampoa,650000,117,3,2
Central Area,920000,82,3,1
Yishun,550000,92,3,2
Woodlands,488000,68,2,2
Clementi,498000,67,2,2
Woodlands,550000,92,3,2
Yishun,335000,63,2,2
Bukit Merah,670000,86,3,2
Bedok,988000,146,4,3
Bedok,988000,146,0,3
Tampines,550000,105,3,2
Clementi,428000,670,2,2
Queenstown,490000,82,3,2
Choa Chu Kang,530000,92,3,2
Central Area,478000,74,2,2
Yishun,765000,142,4,2
Woodlands,510000,97,3,2
Bukit Merah,1300000,114,3,2
Sengkang,499000,90,3,2
Jurong West,465000,104,3,2
Bukit Batok,389000,68,2,2
Toa Payoh,679000,91,3,2
Punggol,529000,111,3,2
Bukit Panjang,550000,110,3,2
Sembawang,495000,95,3,2
Sengkang,580000,114,3,2
Woodlands,590000,93,3,2
Woodlands,550000,93,3,2
Choa Chu Kang,460000,102,3,2
Bukit Panjang,1288000,146,4,3
Bukit Batok,1000000,149,4,3
Bukit Merah,1023000,123,5,2
Serangoon,780000,113,3,2
Bukit Panjang,550000,121,3,2
Choa Chu Kang,550000,92,3,2
Sembawang,640000,110,3,2
Bishan,690000,100,3,2
Ang Mo Kio,495000,98,3,2
Tampines,800000,138,4,2
Hougang,458888,90,3,2
Kallang/Whampoa,380000,59,2,1
Pasir Ris,768000,146,3,2
Bukit Panjang,558000,93,3,2
Kallang/Whampoa,560000,99,3,2
Kallang/Whampoa,560000,9,3,2
Kallang/Whampoa,629999,109,3,2
Geylang,750000,105,3,2
Queenstown,795000,83,3,2
Toa Payoh,268000,54,1,1
Jurong West,718000,150,3,2
Hougang,364000,67,2,2
Bukit Batok,800000,141,4,2
Tampines,428000,73,2,2
Woodlands,1086000,192,5,3
Punggol,730888,112,3,2
Jurong East,500000,100,3,2
Jurong East,500000,100,3,2
Jurong East,500000,100,3,2
Bukit Merah,549000,72,3,2
Bishan,838000,121,3,2
Sembawang,620000,110,3,2
Toa Payoh,900000,93,3,2
Woodlands,535000,103,3,2
Yishun,540000,93,3,2
Bukit Batok,375000,69,2,2
Woodlands,570000,93,3,2
Bukit Batok,375000,69,2,2
Bukit Panjang,588000,92,3,2
Choa Chu Kang,528000,114,3,2
Woodlands,645000,113,3,2
Bukit Batok,665000,92,3,2
Woodlands,538000,126,3,2
Bukit Panjang,720000,121,4,2
Bishan,1080000,121,4,2
Toa Payoh,768000,1001,3,2
Sembawang,330000,47,1,1
Yishun,820000,142,3,2
Choa Chu Kang,980000,139,4,2
Bukit Batok,548000,90,3,3
Queenstown,938000,90,3,2
Bukit Merah,758000,90,3,2
Geylang,650000,123,3,2
Choa Chu Kang,460000,102,3,2
Woodlands,539888,93,3,2
Bukit Merah,680000,108,3,2
Woodlands,648000,113,4,2
Yishun,550000,92,3,2
Queenstown,988000,106,3,2
Woodlands,630000,113,3,2
Pasir Ris,920000,147,4,2
Punggol,358000,37,1,1
Jurong West,680000,150,3,3
Queenstown,320000,58,2,1
Woodlands,460000,68,2,2
Sengkang,570000,93,3,2
Sengkang,548000,110,3,2
Central Area,550000,60,2,2
Ang Mo Kio,380000,67,2,2
Tampines,430000,73,2,2
Pasir Ris,845000,149,4,2
Bedok,568000,102,3,2
Punggol,568000,110,3,2
Bukit Timah,590000,91,3,1
Sengkang,520000,101,3,2
Jurong West,430000,68,2,2
Jurong West,850000,121,4,3
Jurong West,780000,159,4,2
Jurong West,700000,149,4,3
Marine Parade,450000,68,3,2
Punggol,499000,68,2,2
Punggol,550000,90,3,2
Geylang,800000,118,3,2
Bedok,659999,118,3,2
Jurong West,810000,121,4,3
Bishan,598000,84,3,2
Bukit Merah,620000,67,2,2
Bukit Merah,1160000,95,3,2
Queenstown,460000,65,2,1
Kallang/Whampoa,1038000,121,3,2
Punggol,580000,110,3,2
Ang Mo Kio,899000,113,3,2
Bukit Merah,890000,93,3,2
Geylang,485000,84,3,3
Bishan,1190000,120,3,2
Toa Payoh,760000,93,3,2
Sembawang,480000,68,2,2
Yishun,700000,92,3,2
Punggol,688000,128,4,2
Hougang,399000,71,2,2
Serangoon,390000,64,2,1
Woodlands,638000,113,3,2
Sengkang,550000,90,3,2
Queenstown,399000,65,2,1
Queenstown,325000,66,2,2
Sembawang,610000,93,3,2
Woodlands,750000,113,3,2
Tampines,880000,107,3,2
Tampines,880000,107,3,2
Choa Chu Kang,530000,92,3,2
Choa Chu Kang,538000,93,3,2
Woodlands,650000,125,4,2
Bedok,388000,61,2,1
Bedok,443000,84,3,2
Bukit Merah,1300000,114,3,2
Yishun,399314,84,3,2
Jurong West,330000,47,1,1
Bishan,585000,104,3,2
Queenstown,780000,103,3,2
Clementi,610000,119,3,2
Yishun,438000,68,2,2
Pasir Ris,630000,122,3,2
Punggol,478000,68,2,2
Bedok,320000,67,2,2
Tampines,395000,74,2,2
Woodlands,338888,68,2,2
Woodlands,480000,86,3,2
Bedok,455000,82,3,2
Bishan,888000,121,3,2
Hougang,690000,120,3,2
Woodlands,650000,125,4,2
Yishun,990000,165,5,3
Toa Payoh,450000,78,2,2
Choa Chu Kang,800000,135,4,2
Bukit Panjang,399000,67,2,2
Geylang,520000,84,3,2
Geylang,340000,56,2,1
Queenstown,598000,86,3,3
Pasir Ris,780000,146,3,2
Punggol,599000,90,3,2
Punggol,550000,92,3,2
Marine Parade,438000,65,2,1
Jurong East,530000,72,2,2
Choa Chu Kang,665000,113,3,2
Bukit Panjang,470000,103,3,2
Choa Chu Kang,520000,121,3,2
Bukit Panjang,670000,101,3,2
Hougang,470000,915,3,2
Hougang,470000,85,3,2
Choa Chu Kang,549000,121,3,2
Hougang,450000,84,3,2
Bukit Merah,385000,65,2,1
Punggol,659000,93,3,2
Woodlands,498000,103,3,2
Punggol,598000,95,3,2
Bukit Merah,250000,31,1,1
Yishun,399999,84,3,2
Jurong West,468000,90,3,2
Tampines,650000,122,3,2
Choa Chu Kang,398000,69,2,2
Queenstown,1000000,93,3,2
Queenstown,800000,119,4,2
Sengkang,588000,93,3,2
Geylang,819888,93,3,2
Queenstown,330000,60,2,1
Clementi,580000,94,3,2
Kallang/Whampoa,350000,59,2,1
Geylang,999000,114,3,2
Geylang,999000,114,3,2
Bishan,688000,122,4,2
Sembawang,640000,93,3,2
Queenstown,820000,115,3,2
Bukit Panjang,480000,103,3,2
Yishun,578000,93,3,2
Tampines,638000,122,3,2
Tampines,770000,84,3,2
Jurong East,588000,117,3,2
Ang Mo Kio,615000,82,2,2
Sengkang,465000,90,3,2
Punggol,613000,110,3,2
Pasir Ris,580000,145,4,2
Hougang,660000,92,3,2
Sengkang,599000,112,3,2
Sengkang,430000,94,3,2
Bukit Merah,460000,91,5,5
Sengkang,599000,112,3,2
Bishan,599000,104,3,2
Hougang,720000,112,4,2
Bishan,599000,104,3,2
Hougang,720000,112,4,2
Serangoon,1000000,146,4,3
Bishan,820000,120,4,2
Woodlands,475000,92,3,2
Choa Chu Kang,700000,142,4,2
Bukit Merah,998000,121,3,2
Bedok,370000,68,2,2
Sembawang,650000,130,3,2
Jurong West,490000,110,3,2
Tampines,490000,103,3,2
Sengkang,499000,115,3,2
Punggol,500000,92,3,2
Hougang,450000,104,3,2
Bedok,695000,93,3,2
Toa Payoh,340000,65,2,2
Jurong West,750000,114,3,2
Punggol,650000,97,3,2
Woodlands,499000,92,3,2
Choa Chu Kang,598000,100,2,2
Clementi,800000,90,3,3
Yishun,550000,10,3,2
Punggol,700000,112,3,2
Jurong West,465000,85,3,2
Tampines,680000,122,2,2
Sembawang,550000,92,3,2
Punggol,440000,67,2,2
Marine Parade,988000,126,3,2
Kallang/Whampoa,1180000,144,4,2
Choa Chu Kang,500000,106,3,2
Jurong West,550000,112,3,2
Woodlands,860000,163,4,3
Jurong West,460000,104,3,2
Punggol,580000,93,3,2
Clementi,500000,92,3,2
Woodlands,488000,99,3,2
Bukit Panjang,498000,100,3,2
Woodlands,498000,102,3,2
Bukit Batok,725000,149,3,2
Choa Chu Kang,575000,110,3,2
Sengkang,720000,92,3,2
Jurong East,510000,90,3,2
Jurong East,510000,90,3,2
Ang Mo Kio,388000,67,2,2
Ang Mo Kio,358000,67,2,2
Bedok,538000,103,3,2
Jurong West,585000,110,3,2
Ang Mo Kio,378000,67,2,2
Woodlands,518000,104,3,2
Marine Parade,405000,65,2,2
Jurong West,488000,93,3,2
Clementi,880000,91,3,2
Jurong West,699000,130,3,2
Bishan,1489900,120,3,2
Bukit Panjang,460000,103,3,2
Jurong West,515000,93,3,2
Bukit Merah,590000,110,3,2
Jurong West,560000,110,3,2
Jurong West,470000,94,3,2
Yishun,418000,84,3,2
Toa Payoh,880000,91,3,2
Jurong East,658000,134,3,2
Yishun,418000,84,3,2
Bukit Panjang,658888,112,3,2
Toa Payoh,948000,147,4,2
Bukit Panjang,379888,73,2,2
Jurong West,538000,111,3,2
Tampines,758000,113,3,2
Yishun,850000,146,3,2
Yishun,398000,67,2,2
Bedok,570000,66,2,2
Woodlands,638000,112,3,2
Pasir Ris,998888,147,3,3
Toa Payoh,860000,91,3,2
Bedok,400000,67,2,2
Bukit Merah,388000,76,3,1
Choa Chu Kang,660000,113,3,2
Bukit Merah,385000,65,2,1
Jurong East,688888,120,3,2
Punggol,650000,110,3,3
Punggol,650000,110,3,3
Bukit Panjang,699000,113,3,2
Toa Payoh,950128,88,3,2
Toa Payoh,928000,138,3,2
Serangoon,528000,105,3,2
Central Area,530000,60,2,1
Central Area,450000,60,2,1
Bukit Batok,648888,118,4,2
Toa Payoh,1200000,114,3,2
Bukit Batok,649000,118,4,2
Ang Mo Kio,950000,93,3,2
Marine Parade,475000,76,2,2
Woodlands,550000,93,3,2
Yishun,700000,122,3,2
Yishun,700000,122,3,2
Bedok,550000,120,3,2
Yishun,700000,122,3,2
Bishan,430000,88,3,2
Hougang,550000,103,3,2
Woodlands,540000,93,3,2
Punggol,650000,92,3,2
Jurong West,435000,103,3,2
Clementi,498000,83,3,2
Queenstown,360000,66,0,2
Yishun,440000,68,2,2
Jurong West,599000,110,2,2
Sengkang,848000,120,4,3
Choa Chu Kang,850000,143,3,3
Tampines,638000,122,3,1
Ang Mo Kio,438000,68,2,2
Punggol,559000,110,3,2
Jurong West,540000,93,3,2
Choa Chu Kang,640000,142,4,2
Choa Chu Kang,495000,104,3,2
Punggol,630000,110,3,2
Serangoon,750000,103,3,2
Bedok,600000,121,3,2
Marine Parade,475000,76,2,2
Queenstown,450000,65,2,2
Queenstown,979000,93,3,2
Queenstown,788000,92,3,2
Clementi,608000,93,3,2
Bukit Merah,450000,76,1,1
Sengkang,630000,90,3,2
Yishun,550000,109,3,2
Sengkang,600000,110,3,2
Marine Parade,475000,76,2,2
Marine Parade,475000,76,2,2
Woodlands,685000,113,3,2
Sengkang,699000,113,3,2
Kallang/Whampoa,978000,93,3,2
Hougang,658000,120,3,2
Toa Payoh,415000,66,2,1
Bukit Batok,560000,10,3,2
Yishun,480000,92,3,2
Clementi,398000,69,2,2
Tampines,668000,137,3,2
Geylang,850000,95,3,2
Bedok,550000,92,3,2
Bukit Panjang,699000,113,3,2
Woodlands,460000,93,3,2
Woodlands,620000,93,3,2
Sembawang,648000,93,3,2
Punggol,580000,110,3,2
Bedok,608000,117,3,2
Pasir Ris,660000,112,3,2
Choa Chu Kang,800000,135,4,2
Hougang,495000,85,3,2
Yishun,565000,93,3,2
Woodlands,638000,120,3,2
Bishan,680000,102,3,2
Bukit Batok,810000,113,3,2
Sengkang,560000,92,3,2
Bedok,465000,84,3,2
Sembawang,618000,93,3,2
Bukit Merah,799000,119,3,2
Sembawang,488888,106,3,2
Tampines,450000,73,2,2
Ang Mo Kio,685000,92,3,2
Queenstown,1000000,105,3,2
Bukit Merah,880000,83,3,2
Geylang,438000,84,3,2
Hougang,565000,106,2,2
Yishun,688000,113,3,2
Sengkang,599999,93,3,2
Bukit Panjang,615000,133,4,2
Sembawang,450000,67,2,2
Bedok,358000,68,2,2
Sengkang,508000,93,3,2
Kallang/Whampoa,349999,63,2,2
Punggol,490000,90,3,2
Sembawang,618000,93,3,2
Sembawang,460000,90,3,2
Marine Parade,540000,87,3,2
Jurong West,535000,110,3,2
Bedok,340000,65,2,1
Bukit Batok,500000,84,3,2
Bukit Batok,478000,84,3,2
Jurong West,699999,120,3,2
Bukit Panjang,720000,112,3,2
Woodlands,520000,93,3,2
Geylang,585000,109,3,2
Kallang/Whampoa,400000,59,2,2
Queenstown,800000,119,4,2
Yishun,357000,74,2,2
Marine Parade,475000,76,2,2
Serangoon,548000,84,3,2
Clementi,980000,110,3,2
Yishun,730000,113,3,2
Punggol,828000,113,4,2
Pasir Ris,938000,149,4,2
Jurong East,570000,120,3,2
Tampines,430000,73,2,2
Tampines,468000,74,2,2
Woodlands,598000,123,2,3
Tampines,415888,73,2,2
Hougang,650000,92,3,2
Choa Chu Kang,500000,110,3,2
Hougang,388888,68,2,2
Yishun,888888,146,4,3
Yishun,888888,146,4,3
Bukit Panjang,838000,140,4,2
Tampines,650000,137,3,2
Woodlands,430000,68,2,2
Pasir Ris,595000,122,3,2
Bukit Timah,920000,122,3,2
Sembawang,495000,95,3,2
Woodlands,588888,93,3,2
Pasir Ris,660000,121,4,2
Serangoon,430000,64,2,0
Sengkang,600000,110,3,2
Toa Payoh,1060000,142,4,2
Woodlands,500000,90,3,2
Yishun,385000,73,2,2
Clementi,588000,93,4,2
Queenstown,1200000,93,3,2
Serangoon,700000,122,0,2
Yishun,395000,68,2,2
Toa Payoh,1060000,142,4,2
Woodlands,488000,99,3,2
Bukit Merah,1050000,110,3,0
Woodlands,580000,111,3,3
Tampines,890000,108,3,2
Yishun,495000,93,3,2
Jurong West,548000,100,3,2
Yishun,700000,122,3,2
Sembawang,650000,133,4,2
Ang Mo Kio,750000,95,3,2
Ang Mo Kio,750000,95,3,2
Toa Payoh,499000,74,2,2
Woodlands,720000,113,2,2
Yishun,428000,84,3,2
Pasir Ris,998888,147,3,3
Tampines,590000,110,3,2
Punggol,580000,110,3,2
Sembawang,518000,102,3,2
Choa Chu Kang,738888,143,3,2
Toa Payoh,620000,103,3,2
Hougang,500000,100,3,2
Woodlands,588888,93,3,2
Woodlands,588888,93,3,2
Sembawang,658000,131,3,2
Kallang/Whampoa,420000,65,2,2
Bedok,599000,115,3,2
Yishun,498000,104,3,2
Yishun,498000,104,3,2
Kallang/Whampoa,680000,103,3,2
Tampines,770000,84,3,2
Kallang/Whampoa,795000,89,3,2
Clementi,998000,94,3,2
Toa Payoh,1430000,114,3,2
Bedok,460000,92,3,2
Sengkang,600000,110,3,2
Bukit Batok,520000,107,3,3
Queenstown,800000,119,3,2
Bishan,650000,84,3,2
Choa Chu Kang,550000,110,3,2
Woodlands,1090000,192,5,3
Woodlands,548000,115,3,2
Bukit Merah,998000,115,3,2
Yishun,450000,95,3,2
Woodlands,598000,11,4,2
Kallang/Whampoa,938000,93,3,2
Geylang,620000,110,3,2
Sembawang,768000,125,4,2
Bishan,688000,122,4,2
Bukit Timah,650000,89,3,2
Toa Payoh,1430000,114,3,2
Pasir Ris,998000,147,4,2
Punggol,568000,110,3,2
Toa Payoh,788000,93,3,2
Yishun,599999,93,3,2
Hougang,550000,103,3,2
Bukit Merah,365000,59,2,2
Woodlands,538000,93,3,2
Queenstown,460000,45,1,1
Geylang,360000,56,2,1
Bukit Batok,520000,99,3,2
Sembawang,718000,11,3,2
Yishun,488000,83,3,2
Woodlands,325000,60,2,1
Bukit Panjang,688000,121,3,2
Bukit Panjang,348000,47,1,1
Toa Payoh,810000,119,4,0
Queenstown,498888,84,3,2
Bukit Merah,1000000,83,3,2
Choa Chu Kang,555555,124,3,2
Tampines,500000,84,3,2
Bukit Batok,398000,73,2,2
Woodlands,540000,93,3,2
Sembawang,620000,130,3,2
Jurong West,435000,103,3,2
Sembawang,531000,110,3,2
Sengkang,499000,91,3,2
Sembawang,580000,110,3,2
Sembawang,535000,110,0,2
Sembawang,535000,110,0,2
Toa Payoh,799949,132,4,4
Yishun,705000,113,3,2
Yishun,705000,113,3,2
Sembawang,613000,93,3,2
Sembawang,613000,93,3,2
Punggol,632000,93,3,2
Sengkang,450000,67,2,2
Sengkang,775000,126,4,2
Yishun,490000,98,3,2
Sengkang,700000,113,3,2
Toa Payoh,400000,63,2,1
Queenstown,930000,93,3,2
Bishan,898000,121,3,2
Bukit Merah,850000,88,2,1
Kallang/Whampoa,960000,93,3,2
Sengkang,330000,46,1,1
Queenstown,319999,58,2,1
Queenstown,799000,85,3,2
Queenstown,349999,68,3,1
Queenstown,614999,87,3,2
Woodlands,588888,122,3,2
Toa Payoh,469888,82,3,2
Queenstown,429999,65,2,2
Geylang,780000,107,3,2
Sengkang,508800,93,3,2
Kallang/Whampoa,349999,63,2,2
Yishun,398000,73,2,2
Yishun,660000,112,3,2
Bedok,800000,94,3,2
Kallang/Whampoa,420000,60,2,2
Jurong East,368888,68,2,2
Pasir Ris,579000,103,3,2
Jurong West,388000,73,2,2
Jurong West,388000,73,2,2
Choa Chu Kang,510000,104,3,2
Bukit Batok,918000,155,4,3
Marine Parade,475000,76,2,2
Toa Payoh,1080000,105,3,2
Bedok,455000,82,2,2
Bukit Merah,888000,85,3,2
Yishun,1000000,92,3,2
Bedok,490000,91,3,2
Geylang,310000,57,2,1
Sengkang,630000,90,3,2
Jurong West,560000,111,0,0
Tampines,570000,104,3,0
Punggol,650000,93,3,2
Serangoon,615000,110,3,2
Marine Parade,495000,82,3,2
Pasir Ris,850000,145,5,2
Tampines,658777,93,3,2
Choa Chu Kang,640000,122,3,2
Queenstown,938888,93,3,2
Choa Chu Kang,530000,92,3,2
Bukit Batok,560000,122,3,2
Toa Payoh,450000,62,2,1
Clementi,788000,100,3,2
Queenstown,338000,60,2,2
Bishan,800000,103,3,2
Jurong East,580000,101,3,2
Jurong East,680000,135,3,2
Woodlands,580000,1312,3,2
Woodlands,648888,137,3,2
Tampines,568888,108,2,2
Queenstown,850000,95,3,2
Sengkang,500000,90,3,2
Hougang,550000,104,3,2
Kallang/Whampoa,938000,93,3,2
Pasir Ris,670000,127,3,2
Clementi,338000,67,2,2
Yishun,498000,104,3,2
Yishun,698000,122,3,2
Sengkang,1050000,112,3,2
Choa Chu Kang,660000,110,3,0
Ang Mo Kio,530000,91,3,2
Sengkang,368000,48,1,0
Yishun,498000,108,3,2
Marine Parade,958000,126,3,2
Jurong East,328000,72,2,1
Punggol,550000,110,3,2
Bukit Panjang,968888,126,4,2
Punggol,848800,112,2,3
Queenstown,550000,82,3,0
Punggol,610000,111,3,2
Jurong West,480000,90,3,2
Bukit Merah,948000,110,3,2
Bukit Merah,928000,135,4,2
Sengkang,508000,93,3,2
Sengkang,600000,110,3,2
Jurong East,950000,136,4,4
Yishun,500000,92,3,2
Ang Mo Kio,470000,70,2,2
Toa Payoh,350000,65,2,1
Bukit Batok,438000,84,3,2
Choa Chu Kang,499999,110,4,0
Sembawang,565000,110,0,0
Clementi,445000,68,2,2
Bukit Panjang,670000,101,3,2
Punggol,468000,68,2,2
Bishan,948000,12,4,2
Sembawang,715000,113,3,2
Jurong West,585888,118,3,2
Bukit Batok,580000,103,3,2
Sembawang,340000,47,1,1
Sembawang,768000,125,4,2
Marine Parade,475000,76,2,2
Marine Parade,475000,76,2,2
Bishan,900000,10,3,2
Marine Parade,475000,76,2,2
Marine Parade,475000,76,2,2
Toa Payoh,500000,84,3,2
Tampines,818888,114,3,2
Bukit Merah,510000,84,3,2
Jurong East,688888,120,3,2
Clementi,438000,82,2,2
Clementi,438000,82,2,2
Bukit Batok,688000,120,4,2
Woodlands,540000,93,3,2
Choa Chu Kang,620000,121,3,2
Choa Chu Kang,540000,104,3,2
Sembawang,610000,93,3,2
Choa Chu Kang,650000,113,3,2
Punggol,600000,112,3,2
Sengkang,600000,90,3,2
Hougang,450000,91,3,2
Hougang,829999,112,3,2
Tampines,899999,110,3,2
Tampines,488888,68,2,2
Bukit Merah,1300000,114,3,2
Bedok,995000,139,4,2
Woodlands,680000,113,3,2
Woodlands,520000,102,3,2
Yishun,398000,67,2,2
Pasir Ris,535000,94,3,2
Bedok,340000,60,2,2
Bukit Merah,1100000,110,3,2
Tampines,790000,132,5,3
Marine Parade,468000,76,3,2
Woodlands,420000,68,2,2
Jurong West,310000,65,2,1
Pasir Ris,850000,153,4,2
Choa Chu Kang,510000,93,3,2
Bishan,550000,84,3,2
Queenstown,1328888,148,4,3
Yishun,950000,146,4,3
Yishun,640000,112,3,2
Sembawang,650000,131,4,2
Kallang/Whampoa,350000,50,2,1
Bedok,338000,59,2,2
Sengkang,560000,92,3,2
Serangoon,800000,123,3,2
Bishan,680000,102,3,2
Toa Payoh,600000,68,2,2
Woodlands,358000,75,2,1
Geylang,340000,602,2,1
Ang Mo Kio,760000,93,3,2
Serangoon,1200000,147,4,3
