town,price,size,bedrooms,bathrooms
Bukit Panjang,508888,93,3,2
Queenstown,1400000,92,3,2
Punggol,650000,112,4,2
Yishun,500000,93,3,2
Toa Payoh,360000,63,2,2
Woodlands,400000,73,2,0
Clementi,598000,119,3,2
Toa Payoh,388000,65,3,1
Bedok,888000,119,3,2
Ang Mo Kio,685000,92,3,2
Woodlands,950000,166,4,2
Punggol,458000,65,0,2
Hougang,658000,120,3,2
Tampines,450000,74,3,2
Toa Payoh,395000,65,2,1
Bishan,680000,119,3,2
Punggol,600000,96,3,2
Choa Chu Kang,530000,106,3,2
Bukit Panjang,399000,67,2,2
Toa Payoh,858000,93,3,2
Punggol,660000,93,3,2
Bedok,538888,92,3,2
Bukit Timah,650000,89,3,2
Sengkang,600000,110,3,2
Queenstown,938000,90,3,2
Hougang,395000,67,2,2
Sengkang,600000,110,3,2
Queenstown,938000,90,3,2
Hougang,395000,67,2,2
Bukit Merah,385000,65,2,1
Punggol,580000,110,3,2
Geylang,299000,60,2,1
Tampines,770000,84,3,2
Bukit Panjang,540000,93,3,2
Bukit Panjang,530000,110,3,2
Sengkang,720000,131,2,2
Kallang/Whampoa,930000,120,3,2
Queenstown,400000,71,2,2
Bukit Merah,1300000,114,3,2
Tampines,660000,126,3,2
Choa Chu Kang,535000,93,3,2
Tampines,450000,74,3,2
Bukit Panjang,649000,133,3,2
Choa Chu Kang,660000,113,3,2
Sengkang,600000,93,3,0
Pasir Ris,528000,107,3,2
Woodlands,688888,93,3,2
Jurong East,808000,141,3,2
Punggol,568888,110,3,2
Punggol,568888,110,3,2
Bukit Merah,350000,51,2,1
Sengkang,515000,95,3,2
Tampines,425000,74,2,2
Bukit Panjang,688000,113,3,2
Woodlands,688888,93,3,2
Ang Mo Kio,360000,68,2,2
Woodlands,550000,92,3,2
Woodlands,548888,92,3,2
Sembawang,610000,93,3,2
Queenstown,468000,65,3,2
Jurong East,609000,120,3,2
Pasir Ris,600000,65,2,2
Jurong West,588880,116,3,2
Geylang,510000,104,3,2
Bukit Batok,798000,148,4,3
Choa Chu Kang,738888,143,3,2
Bedok,1118338,123,3,2
Toa Payoh,798000,93,3,2
Bukit Panjang,699000,113,3,2
Toa Payoh,450000,65,2,1
Tampines,415888,73,2,2
Jurong West,580000,111,1,2
Woodlands,389000,93,3,2
Bedok,398000,73,2,2
Queenstown,1100000,109,3,2
Bedok,550000,92,3,2
Yishun,700000,122,3,2
Queenstown,790000,93,3,2
Toa Payoh,750000,121,3,2
Woodlands,648000,112,3,2
Toa Payoh,280000,64,2,2
Ang Mo Kio,480000,91,3,2
Toa Payoh,848000,93,3,2
Bedok,550000,92,3,2
Jurong East,580000,101,3,2
Jurong East,680000,134,3,2
Tampines,540000,105,3,2
Sengkang,580000,96,3,2
Tampines,450000,74,3,2
Bukit Panjang,500000,104,3,2
Marine Parade,600000,87,3,2
Punggol,830000,113,3,2
Sengkang,638000,121,3,2
Sengkang,638000,121,3,2
Woodlands,780000,141,4,3
Jurong West,518888,93,3,2
Sengkang,628000,121,3,2
Jurong East,518000,104,3,2
Toa Payoh,1050000,113,3,2
Bukit Panjang,558888,122,3,2
Clementi,488000,81,2,2
Serangoon,710000,10,3,2
Toa Payoh,858000,93,3,2
Kallang/Whampoa,880000,89,3,2
Hougang,420000,66,2,2
Yishun,700000,122,3,2
Bukit Merah,850000,110,3,2
Sengkang,750000,134,3,2
Tampines,468000,74,2,2
Tampines,548000,107,3,2
Sengkang,488000,90,3,2
Queenstown,938000,90,3,2
Tampines,450000,74,3,2
Punggol,350000,50,1,1
Sembawang,650000,111,4,2
Jurong West,558000,93,3,2
Pasir Ris,1000000,105,3,2
Kallang/Whampoa,930000,120,3,2
Choa Chu Kang,630000,142,4,2
Queenstown,1100000,93,3,2
Pasir Ris,820000,145,4,2
Bukit Batok,690000,118,4,2
Bukit Timah,800000,104,3,2
Bedok,995000,139,5,2
Ang Mo Kio,525000,93,3,2
Bishan,1250000,162,4,3
Bukit Merah,1300000,114,3,2
Sengkang,620000,94,3,2
Bukit Panjang,888000,155,3,3
Hougang,588000,122,3,2
Toa Payoh,328000,65,2,2
Sengkang,750000,134,3,2
Tampines,555000,105,3,2
Marine Parade,438000,70,2,1
Geylang,515000,67,2,2
Tampines,488000,84,3,2
Yishun,528000,93,3,2
Sembawang,600000,93,3,2
Toa Payoh,398000,67,2,1
Jurong West,500000,104,3,2
Hougang,725000,92,3,2
Queenstown,958000,88,3,2
Toa Payoh,600000,68,2,2
Woodlands,320000,60,2,1
Woodlands,598000,124,3,2
Yishun,530000,90,3,2
Yishun,530000,90,3,2
Tampines,660000,126,3,2
Jurong West,529999,88,2,2
Kallang/Whampoa,1100000,139,3,3
Sengkang,660000,113,3,2
Bishan,750000,103,3,2
Ang Mo Kio,750000,93,3,2
Toa Payoh,935000,91,3,2
Woodlands,599000,110,3,2
Sengkang,640000,94,3,2
Tampines,550000,108,3,2
Yishun,580000,93,3,2
Woodlands,500000,101,3,2
Kallang/Whampoa,470000,68,2,2
Woodlands,800000,146,3,2
Sembawang,565000,110,3,2
Pasir Ris,918888,150,3,3
Jurong West,515000,111,1,2
Woodlands,338000,47,1,1
Kallang/Whampoa,938000,93,3,2
Bukit Panjang,740000,112,3,2
Marine Parade,520000,82,3,1
Sengkang,299999,44,1,2
Bukit Panjang,470000,104,3,2
Kallang/Whampoa,938000,93,2,2
Punggol,830000,113,2,2
Bishan,800000,103,3,2
Geylang,998000,152,3,3
Sengkang,580000,110,3,2
Bukit Batok,700000,92,3,2
Punggol,578000,110,3,2
Woodlands,638000,1291,3,2
Woodlands,638000,120,3,2
Queenstown,445000,65,2,1
Toa Payoh,600000,68,2,2
Ang Mo Kio,368000,67,2,2
Woodlands,1000000,172,7,3
Sengkang,538000,90,3,2
Pasir Ris,508000,103,4,2
Toa Payoh,810000,119,4,2
Bedok,860000,148,0,3
Jurong East,328000,72,2,1
Woodlands,800000,147,4,3
Serangoon,535000,100,3,2
Bukit Merah,420000,721,2,2
Ang Mo Kio,530000,91,3,2
Tampines,550000,105,3,2
Ang Mo Kio,750000,119,3,2
Geylang,700000,101,3,2
Sengkang,600000,110,3,2
Bukit Batok,778000,92,3,2
Toa Payoh,830000,101,3,2
Toa Payoh,830000,101,3,2
Toa Payoh,1060000,142,4,2
Ang Mo Kio,599999,90,3,2
Woodlands,648888,137,3,2
Choa Chu Kang,638000,121,3,2
Jurong West,525000,111,2,2
Kallang/Whampoa,938000,93,3,2
Punggol,613000,110,3,2
Bukit Panjang,608000,122,3,2
Kallang/Whampoa,960000,93,3,2
Punggol,480000,68,2,2
Punggol,325000,46,1,1
Toa Payoh,799949,132,4,4
Tampines,628000,90,3,2
Bukit Merah,850000,127,4,2
Bukit Merah,720000,62,2,2
Toa Payoh,650000,114,3,2
Clementi,628000,60,2,2
Clementi,360000,68,2,2
Hougang,378888,67,2,2
Tampines,388000,60,2,2
Sembawang,550000,93,3,2
Bedok,630000,92,3,2
Ang Mo Kio,530000,91,3,2
Sengkang,460000,68,2,2
Sengkang,600000,110,3,0
Hougang,420000,66,2,2
Central Area,560000,60,2,2
Sengkang,600000,110,3,2
Marine Parade,788000,120,3,2
Marine Parade,745000,120,3,2
Queenstown,898000,96,3,2
Sembawang,490000,68,2,2
Bukit Merah,798000,115,3,2
Punggol,750000,112,2,2
Bishan,925000,121,4,2
Choa Chu Kang,800000,167,3,2
Toa Payoh,420000,76,3,2
Sengkang,360000,50,1,1
Yishun,760000,120,4,3
Jurong West,570000,126,4,2
Yishun,850000,164,4,3
Hougang,435000,91,3,2
Bukit Merah,838000,110,3,2
Choa Chu Kang,498000,93,3,2
Sembawang,420000,86,3,2
Bukit Panjang,710000,123,3,2
Kallang/Whampoa,770000,91,3,2
Bukit Panjang,710000,123,3,2
Kallang/Whampoa,770000,91,3,2
Bedok,439999,92,3,2
Jurong East,380000,68,2,2
Ang Mo Kio,358000,67,2,2
Bukit Merah,420000,721,2,2
Bukit Merah,388000,67,2,2
Sengkang,570000,93,3,2
Sengkang,520000,115,3,2
Ang Mo Kio,750000,93,3,2
Kallang/Whampoa,750000,90,3,2
Sengkang,620000,120,3,2
Kallang/Whampoa,798000,110,3,2
Punggol,610000,110,3,2
Yishun,565000,93,3,2
Bukit Panjang,600000,91,3,2
Choa Chu Kang,760000,152,6,3
Yishun,800000,146,4,3
Woodlands,500000,101,3,2
Bukit Panjang,680000,110,3,2
Geylang,360000,56,2,1
Ang Mo Kio,850000,119,3,2
Tampines,448000,68,2,2
Yishun,390000,73,2,2
Punggol,838000,113,3,2
Jurong West,550000,111,3,2
Clementi,800000,162,5,4
Bukit Merah,850000,96,3,2
Clementi,698000,121,3,2
Toa Payoh,728000,93,3,2
Jurong West,488000,103,3,0
Punggol,650000,93,3,2
Kallang/Whampoa,390000,65,2,1
Choa Chu Kang,599888,124,4,2
Bishan,648000,110,3,2
Woodlands,549000,121,3,2
Sengkang,520000,93,3,2
Tampines,899999,110,3,2
Tampines,450000,73,2,2
Punggol,520000,90,3,2
Geylang,630000,93,3,2
Geylang,580000,104,3,2
Toa Payoh,350000,66,3,2
Punggol,728000,93,3,2
Pasir Ris,780000,152,4,2
Bukit Merah,968000,105,3,2
Tampines,620000,93,3,2
Sembawang,650000,131,3,2
Toa Payoh,560000,104,3,2
Ang Mo Kio,343000,68,2,2
Bukit Merah,770000,120,3,2
Bukit Batok,788000,112,1,2
Sembawang,715000,112,3,2
Queenstown,1050000,110,3,2
Bukit Panjang,548000,93,3,2
Queenstown,830000,117,3,2
Hougang,829999,112,3,2
Toa Payoh,588888,78,2,1
Punggol,650000,112,4,2
Hougang,518000,91,3,2
Punggol,640000,93,3,2
Bukit Batok,708888,120,3,2
Sengkang,753000,113,3,2
Bukit Merah,540000,91,3,2
Bishan,799999,120,4,2
Sembawang,610888,93,3,2
Yishun,368000,74,2,2
Woodlands,1080000,179,4,2
Toa Payoh,800000,93,3,2
Woodlands,448000,83,3,2
Kallang/Whampoa,938000,93,3,2
Punggol,650000,110,3,2
Queenstown,918000,90,3,2
Yishun,515000,92,3,2
Bukit Merah,750000,77,3,2
Sembawang,495000,95,4,2
Queenstown,550000,82,3,1
Queenstown,1080000,151,4,2
Bukit Panjang,810000,140,4,2
Jurong West,750000,105,3,2
Jurong West,750000,105,3,2
Tampines,610000,122,3,2
Yishun,640000,92,3,2
Pasir Ris,608000,123,3,2
Jurong West,738000,148,3,2
Bishan,675000,104,3,2
Bishan,830000,114,3,2
Toa Payoh,938000,120,4,2
Bishan,780000,102,3,2
Jurong West,850000,121,4,3
Geylang,450000,64,2,2
Jurong West,588888,116,3,2
Kallang/Whampoa,700000,117,3,2
Yishun,520000,104,3,2
Sembawang,460000,90,3,2
Kallang/Whampoa,938000,93,3,2
Kallang/Whampoa,868888,93,3,2
Bukit Merah,388000,67,2,2
Sengkang,668000,110,3,2
Woodlands,488888,91,3,2
Jurong East,370000,72,2,2
Bukit Panjang,340000,47,1,1
Bishan,638000,84,3,2
Yishun,760000,113,3,2
Toa Payoh,335000,65,2,2
Toa Payoh,1250000,113,3,3
Hougang,918000,148,4,3
Sengkang,750000,125,4,2
Sengkang,750000,125,4,2
Bedok,888000,149,3,3
Tampines,550000,91,3,0
Bedok,488000,92,3,2
Woodlands,650000,113,3,0
Sembawang,498000,100,3,2
Jurong East,328000,72,2,1
Ang Mo Kio,750000,110,3,2
Ang Mo Kio,343000,68,2,2
Bukit Batok,375000,92,3,2
Jurong West,570000,126,3,2
Sembawang,615000,93,3,2
Jurong West,570000,126,3,2
Sembawang,615000,93,3,2
Sembawang,498000,92,3,2
Marine Parade,450000,65,2,1
Bishan,600000,105,3,2
Jurong East,580000,101,3,2
Punggol,668000,93,3,2
Punggol,668000,93,3,2
Woodlands,515000,108,3,2
Yishun,420000,68,2,2
Toa Payoh,768000,68,2,2
Queenstown,338000,60,2,1
Bedok,380000,68,2,2
Sengkang,820000,112,3,2
Serangoon,750000,89,3,2
Woodlands,599000,119,4,2
Jurong West,548888,110,3,2
Clementi,950000,148,4,3
Clementi,788000,100,3,2
Yishun,370000,72,2,2
Sengkang,700000,114,4,3
Pasir Ris,618000,122,3,2
Woodlands,1020000,177,6,4
Woodlands,586666,93,3,2
Yishun,1000000,151,4,3
Ang Mo Kio,370000,67,2,2
Ang Mo Kio,378000,67,2,2
Ang Mo Kio,295000,44,1,1
Bukit Batok,490000,93,3,2
Choa Chu Kang,595000,93,3,2
Bukit Panjang,548000,93,3,2
Queenstown,938000,90,3,2
Choa Chu Kang,550000,92,3,2
Sembawang,550000,92,3,2
Sengkang,700000,115,3,2
Geylang,510000,92,3,0
Woodlands,688000,118,3,2
Clementi,780000,80,3,2
Punggol,550000,90,3,0
Clementi,365000,67,2,2
Bukit Batok,760000,146,4,3
Tampines,418888,74,2,2
Yishun,880000,146,4,3
Marine Parade,410000,65,2,1
Yishun,520000,93,3,2
Bukit Merah,900000,91,3,3
Yishun,780000,145,4,2
Ang Mo Kio,550000,91,3,2
Tampines,640000,121,4,2
Sembawang,600000,93,3,2
Kallang/Whampoa,869000,93,3,2
Sembawang,610888,93,3,2
Bukit Panjang,660000,113,3,2
Bukit Merah,380000,66,2,1
Sembawang,680000,137,3,2
Kallang/Whampoa,720000,89,3,2
Queenstown,829888,85,3,2
Serangoon,490000,84,3,2
Jurong East,328000,72,2,1
Woodlands,550000,93,4,2
Woodlands,550000,93,4,2
Woodlands,568000,92,3,2
Tampines,500000,107,3,2
Punggol,750000,93,3,2
Sengkang,508000,93,3,2
Tampines,600000,121,3,2
Tampines,650000,104,3,2
Ang Mo Kio,508000,91,3,2
Sembawang,620000,110,3,2
Punggol,668000,93,3,2
Central Area,1100000,138,3,2
Punggol,620000,96,3,2
Tampines,588988,106,3,2
Toa Payoh,700000,104,3,2
Hougang,600000,108,3,2
Yishun,418000,74,2,2
Yishun,515000,92,3,2
Choa Chu Kang,550000,104,3,2
Woodlands,600000,113,3,0
Punggol,768000,113,3,2
Punggol,768000,113,3,2
Bukit Panjang,530000,110,3,2
Bukit Merah,750000,77,3,2
Jurong West,693000,114,3,0
Jurong East,640000,1291,3,2
Yishun,510000,93,3,2
Punggol,598000,93,3,2
Woodlands,588000,93,3,2
Clementi,798000,80,3,2
Bukit Batok,735000,92,3,2
Jurong West,558000,93,3,2
Tampines,920000,147,4,2
Ang Mo Kio,488888,82,2,2
Punggol,550000,110,3,2
Bukit Merah,298000,44,1,1
Geylang,724800,129,3,2
Bishan,1028000,146,4,3
Toa Payoh,335000,65,2,1
Yishun,313000,47,1,1
Yishun,350000,45,1,1
Tampines,830000,148,4,2
Woodlands,608000,134,4,3
Pasir Ris,1099000,144,3,2
Geylang,339000,65,2,2
Toa Payoh,420000,82,3,2
Bukit Panjang,850000,120,3,2
Hougang,968000,148,0,0
Hougang,638000,110,3,2
Bukit Batok,920000,113,3,2
Sengkang,520000,91,3,2
Ang Mo Kio,368000,67,2,2
Sengkang,588000,110,3,2
Punggol,450000,68,2,2
Sengkang,460000,67,2,2
Bedok,465000,89,4,2
Kallang/Whampoa,950000,93,3,2
Yishun,510000,92,3,2
Bedok,410000,82,2,0
Choa Chu Kang,530000,106,3,0
Bukit Batok,500000,67,2,2
Hougang,800000,137,3,2
Clementi,815000,93,3,2
Sembawang,730000,113,3,2
Bukit Batok,620000,92,3,2
Woodlands,648888,113,3,2
Jurong East,400000,67,2,2
Kallang/Whampoa,699000,68,2,2
Geylang,780000,107,3,2
Bedok,475000,91,3,2
Punggol,628000,110,3,2
Punggol,800000,110,3,2
Choa Chu Kang,484000,104,3,2
Bedok,399000,65,2,1
Yishun,550000,121,3,2
Bukit Panjang,948000,140,3,3
Yishun,760000,113,3,2
Jurong West,558000,93,3,0
Bishan,850000,115,3,2
Punggol,630000,90,2,2
Pasir Ris,530000,107,3,2
Yishun,550000,121,3,0
Queenstown,1100000,93,3,0
Bishan,1100000,145,3,3
Ang Mo Kio,1038000,113,3,2
Bukit Merah,680000,122,3,2
Ang Mo Kio,508000,91,3,2
Bedok,698000,93,3,0
Bukit Panjang,368000,64,2,2
Sembawang,568000,93,3,2
Woodlands,320000,60,2,1
Bedok,680000,118,3,2
Geylang,780000,107,3,2
Bedok,640000,93,3,2
Choa Chu Kang,720000,140,4,2
Ang Mo Kio,488000,91,3,2
Pasir Ris,828000,145,4,2
Serangoon,1130000,151,3,2
Sengkang,640000,94,3,0
Central Area,468000,60,2,1
Queenstown,938000,90,3,2
Tampines,400000,74,2,2
Woodlands,586666,93,3,2
Yishun,530000,90,3,2
Toa Payoh,799000,101,3,2
Clementi,628000,60,2,2
Yishun,450000,84,3,2
Clementi,780000,80,3,2
Bukit Merah,950000,93,3,2
Woodlands,560000,92,3,0
Yishun,798000,146,4,3
Choa Chu Kang,555555,122,4,2
Queenstown,1050000,93,3,2
Yishun,828000,154,3,3
Sembawang,688888,137,3,2
Woodlands,498000,92,3,2
Tampines,488000,92,3,2
Queenstown,770000,83,3,2
Bukit Panjang,383000,73,2,2
Woodlands,499999,100,3,2
Sembawang,440000,88,3,2
Woodlands,499999,100,3,2
Sembawang,440000,88,3,2
Jurong West,350000,76,2,2
Sengkang,660000,113,3,2
Hougang,899999,148,3,3
Queenstown,920000,121,4,2
Bedok,788000,87,3,2
Hougang,899999,148,4,3
Jurong East,380000,67,2,2
Kallang/Whampoa,389000,68,2,2
Toa Payoh,345000,65,2,2
Jurong West,678000,150,3,3
Toa Payoh,625000,103,3,2
Kallang/Whampoa,1288700,95,3,2
Kallang/Whampoa,460000,65,2,2
Jurong East,868000,141,3,2
Toa Payoh,820000,91,3,2
Bukit Merah,660000,77,3,2
Yishun,550000,121,3,2
Tampines,388000,74,2,2
Marine Parade,630000,82,3,1
Bukit Merah,888000,85,3,2
Punggol,718888,112,3,2
Bukit Merah,388000,76,3,2
Sengkang,580000,110,3,2
Kallang/Whampoa,420000,65,2,2
Bukit Panjang,999999,140,4,2
Sembawang,550000,92,3,2
Choa Chu Kang,560000,93,3,2
Bukit Panjang,499000,103,3,2
Marine Parade,453000,65,2,1
Sengkang,558000,92,3,2
Tampines,545000,104,3,2
Choa Chu Kang,599000,124,4,2
Bedok,350888,63,2,1
Toa Payoh,700000,104,3,2
Hougang,968000,148,0,0
Hougang,550000,93,3,2
Tampines,488000,93,3,2
Queenstown,420000,59,2,2
Geylang,380000,67,2,2
Kallang/Whampoa,338000,60,2,1
Tampines,780000,122,3,2
Bukit Batok,900000,113,3,2
Hougang,600000,108,3,2
Bedok,360000,65,2,1
Jurong West,700000,110,3,2
Hougang,460000,84,3,2
Hougang,580000,100,3,2
Ang Mo Kio,380000,68,2,2
Tampines,400000,74,2,2
Queenstown,938000,90,3,2
Ang Mo Kio,690000,68,2,2
Bishan,788888,114,3,2
Bukit Batok,349000,64,2,2
Clementi,628000,60,2,2
Choa Chu Kang,550000,92,3,2
Choa Chu Kang,515000,110,3,2
Choa Chu Kang,588000,124,3,2
Central Area,560000,60,2,2
Jurong East,460000,103,3,2
Clementi,599888,118,3,2
Punggol,620000,9,3,2
Pasir Ris,560000,105,4,2
Bishan,500000,67,2,2
Bukit Batok,688000,120,4,2
Sengkang,569000,94,3,2
Bukit Batok,699000,118,3,2
Sengkang,450000,67,2,2
Jurong West,840000,113,3,2
Tampines,670000,133,3,2
Ang Mo Kio,760000,93,3,3
Toa Payoh,1180000,110,3,2
Tampines,885000,146,3,3
Tampines,400000,74,2,2
Bishan,520000,64,2,2
Sengkang,620000,94,3,2
Clementi,768000,125,3,2
Bishan,1300000,146,4,3
Bishan,1300000,146,4,3
Punggol,560000,95,3,2
Kallang/Whampoa,950000,122,4,2
Bukit Batok,697000,92,3,2
Yishun,499999,92,3,2
Yishun,800000,149,3,2
Bukit Merah,405000,67,2,2
Sengkang,768000,113,0,2
Ang Mo Kio,370000,67,2,2
Bukit Merah,1100000,89,3,2
Toa Payoh,935000,91,3,2
Choa Chu Kang,499000,104,3,2
Sembawang,688888,137,3,2
Bukit Merah,748000,88,2,1
Punggol,550000,112,5,2
Bukit Panjang,599999,122,3,2
Jurong West,718000,130,4,2
Bukit Batok,838000,152,4,2
Sembawang,550000,110,3,2
Jurong West,550000,104,3,2
Woodlands,565000,121,3,2
Geylang,338000,65,3,1
Bukit Panjang,799000,130,4,2
Bukit Panjang,820000,146,4,3
Sengkang,500000,101,3,0
Ang Mo Kio,520000,93,3,0
Punggol,368000,37,1,1
Yishun,660000,112,3,2
Woodlands,568000,120,0,2
Woodlands,1000000,176,5,2
Bukit Merah,775000,93,3,2
Serangoon,650134,89,3,2
Woodlands,650000,113,4,2
Punggol,625000,93,3,2
Jurong West,710000,114,3,2
Geylang,1500000,146,3,3
Bukit Timah,500000,73,3,1
Tampines,610000,126,3,2
Jurong West,608000,110,3,2
Queenstown,460000,65,3,2
Bukit Batok,935000,113,3,2
Queenstown,460000,65,3,2
Bukit Batok,935000,113,3,2
Choa Chu Kang,598000,121,3,2
Jurong East,328000,73,2,1
Tampines,699000,120,3,2
Geylang,380000,67,2,2
Toa Payoh,960000,91,3,2
Ang Mo Kio,680000,121,3,2
Hougang,488888,84,3,2
Woodlands,900000,145,4,3
Sengkang,460000,67,2,2
Bukit Merah,640000,88,2,1
Hougang,898000,112,4,2
Serangoon,488888,103,3,2
Woodlands,468888,92,3,2
Bukit Batok,428000,89,3,2
Choa Chu Kang,668000,113,3,2
Punggol,600000,92,3,2
Hougang,900000,148,3,3
Geylang,340000,56,2,1
Punggol,750000,120,3,2
Sengkang,688000,130,4,2
Bishan,1008000,146,4,3
Geylang,340000,56,2,1
Bedok,365000,59,2,1
Sengkang,668000,112,3,2
Punggol,539000,93,3,2
Ang Mo Kio,533000,91,3,2
Choa Chu Kang,545000,101,3,2
Sengkang,700000,120,4,3
Yishun,600000,92,3,2
Queenstown,938000,93,3,2
Geylang,330000,56,2,1
Clementi,575000,98,3,2
Sengkang,700000,120,4,3
Jurong West,693000,112,3,2
Toa Payoh,880000,110,3,2
Choa Chu Kang,530000,92,3,2
Yishun,380000,64,2,2
Punggol,780000,113,3,2
Punggol,780000,113,3,2
Punggol,688000,113,3,2
Punggol,768000,113,3,2
Kallang/Whampoa,1050000,113,3,2
Sengkang,700000,120,4,3
Tampines,778000,122,3,2
Bukit Batok,500000,67,2,2
Sengkang,700000,120,4,3
Bishan,450000,67,2,2
Pasir Ris,530000,105,3,2
Hougang,1100000,150,3,3
Choa Chu Kang,640000,122,3,2
Pasir Ris,700000,123,4,2
Jurong East,328000,72,2,1
Pasir Ris,530000,105,3,2
Kallang/Whampoa,865000,93,3,2
Tampines,610000,126,3,2
Hougang,868000,137,4,2
Bukit Panjang,888000,140,3,2
Woodlands,570000,122,3,2
Sengkang,580000,93,3,2
Woodlands,598000,122,4,2
Punggol,760000,112,3,2
Kallang/Whampoa,350000,60,2,1
Sembawang,493131,102,3,2
Ang Mo Kio,370000,67,2,2
Queenstown,320000,60,2,2
Yishun,359000,47,1,1
Jurong West,470000,104,4,2
Tampines,520000,104,3,2
Tampines,885000,146,3,3
Punggol,580000,90,3,2
Sengkang,600000,96,3,2
Punggol,470000,67,2,2
Kallang/Whampoa,350000,59,2,1
Punggol,368000,37,1,1
Tampines,468000,74,2,2
Tampines,490000,84,3,2
Punggol,728000,110,3,2
Bukit Batok,388000,73,2,2
